Country,Response_measure,date_start,date_end
Netherlands,BanOnAllEventsPartial,14/10/2020,03/11/2020
Netherlands,BanOnAllEventsPartial,05/06/2021,25/06/2021
Netherlands,ClosDaycare,16/03/2020,10/05/2020
Netherlands,ClosDaycare,16/12/2020,07/02/2021
Netherlands,ClosDaycarePartial,08/06/2020,01/07/2020
Netherlands,ClosDaycarePartial,08/02/2021,18/04/2021
Netherlands,ClosHigh,12/03/2020,14/06/2020
Netherlands,ClosHigh,16/12/2020,25/04/2021
Netherlands,ClosHighPartial,15/06/2020,01/09/2020
Netherlands,ClosPrim,16/03/2020,10/05/2020
Netherlands,ClosPrim,16/12/2020,07/02/2021
Netherlands,ClosPrimPartial,11/05/2020,08/06/2020
Netherlands,ClosPubAnyPartial,12/03/2020,25/06/2021
Netherlands,ClosSec,16/03/2020,01/06/2020
Netherlands,ClosSec,16/12/2020,28/02/2021
Netherlands,ClosSecPartial,02/06/2020,30/06/2020
Netherlands,ClosSecPartial,01/03/2021,31/05/2021
Netherlands,ClosureOfPublicTransportPartial,12/03/2020,31/05/2020
Netherlands,ClosureOfPublicTransportPartial,15/12/2020,18/05/2021
Netherlands,EntertainmentVenues,12/03/2020,31/05/2020
Netherlands,EntertainmentVenues,04/11/2020,18/05/2021
Netherlands,EntertainmentVenuesPartial,01/06/2020,03/11/2020
Netherlands,EntertainmentVenuesPartial,19/05/2021,25/06/2021
Netherlands,GymsSportsCentres,16/03/2020,28/04/2020
Netherlands,GymsSportsCentres,15/12/2020,18/05/2021
Netherlands,GymsSportsCentresPartial,29/04/2020,30/06/2020
Netherlands,GymsSportsCentresPartial,14/10/2020,14/12/2020
Netherlands,GymsSportsCentresPartial,19/05/2021,04/06/2021
Netherlands,IndoorOver100,12/03/2020,22/03/2020
Netherlands,IndoorOver100,01/06/2020,28/09/2020
Netherlands,IndoorOver50,29/09/2020,13/10/2020
Netherlands,MasksMandatoryClosedSpaces,01/12/2020,25/06/2021
Netherlands,MasksMandatoryClosedSpacesPartial,01/06/2020,04/10/2020
Netherlands,MasksVoluntaryClosedSpacesPartial,05/10/2020,30/11/2020
Netherlands,MassGather50,23/03/2020,31/05/2020
Netherlands,MassGather50,29/09/2020,13/10/2020
Netherlands,MassGather50,04/11/2020,04/06/2021
Netherlands,MassGather50Partial,14/10/2020,03/11/2020
Netherlands,MassGather50Partial,05/06/2021,25/06/2021
Netherlands,MassGatherAll,12/03/2020,30/06/2020
Netherlands,MassGatherAll,29/09/2020,13/10/2020
Netherlands,MassGatherAll,04/11/2020,04/06/2021
Netherlands,MassGatherAllPartial,01/07/2020,28/09/2020
Netherlands,MassGatherAllPartial,14/10/2020,03/11/2020
Netherlands,NonEssentialShops,15/12/2020,02/03/2021
Netherlands,NonEssentialShopsPartial,03/03/2021,04/06/2021
Netherlands,OutdoorOver100,12/03/2020,22/03/2020
Netherlands,OutdoorOver50,29/09/2020,13/10/2020
Netherlands,OutdoorOver500,01/07/2020,28/09/2020
Netherlands,PlaceOfWorship,16/03/2020,31/05/2020
Netherlands,PlaceOfWorshipPartial,01/06/2020,30/06/2020
Netherlands,PrivateGatheringRestrictions,23/03/2020,30/06/2020
Netherlands,PrivateGatheringRestrictions,18/08/2020,25/06/2021
Netherlands,PrivateGatheringRestrictionsPartial,10/07/2021,13/08/2021
Netherlands,RestaurantsCafes,15/03/2020,31/05/2020
Netherlands,RestaurantsCafes,14/10/2020,27/04/2021
Netherlands,RestaurantsCafesPartial,01/06/2020,30/06/2020
Netherlands,RestaurantsCafesPartial,29/09/2020,13/10/2020
Netherlands,RestaurantsCafesPartial,28/04/2021,04/06/2021
Netherlands,StayHomeGen,18/03/2020,10/05/2020
Netherlands,StayHomeGen,15/12/2020,22/01/2021
Netherlands,StayHomeGen,29/04/2021,04/06/2021
Netherlands,StayHomeGenPartial,11/05/2020,01/06/2020
Netherlands,StayHomeGenPartial,04/11/2020,14/12/2020
Netherlands,StayHomeOrderPartial,23/01/2021,28/04/2021
Netherlands,StayHomeRiskG,13/03/2020,26/06/2020
Netherlands,Teleworking,12/03/2020,31/05/2020
Netherlands,Teleworking,18/08/2020,25/06/2021
Netherlands,Teleworking,19/07/2021,NA
Netherlands,TeleworkingPartial,01/06/2020,17/08/2020
Netherlands,TeleworkingPartial,26/06/2021,18/07/2021
Netherlands,WorkplaceClosures,23/03/2020,10/05/2020
Netherlands,WorkplaceClosures,15/12/2020,02/03/2021
Netherlands,WorkplaceClosuresPartial,03/03/2021,27/04/2021
Norway,BanOnAllEvents,12/03/2020,06/05/2020
Norway,ClosDaycare,12/03/2020,20/04/2020
Norway,ClosDaycarePartial,08/07/2021,NA
Norway,ClosHigh,12/03/2020,14/06/2020
Norway,ClosHigh,04/01/2021,18/02/2021
Norway,ClosHighPartial,09/11/2020,03/01/2021
Norway,ClosPrim,12/03/2020,26/04/2020
Norway,ClosPubAny,12/03/2020,31/05/2020
Norway,ClosSec,12/03/2020,11/05/2020
Norway,ClosSecPartial,04/01/2021,17/01/2021
Norway,EntertainmentVenues,12/03/2020,31/05/2020
Norway,EntertainmentVenuesPartial,01/06/2020,03/01/2021
Norway,GymsSportsCentres,12/03/2020,14/05/2020
Norway,GymsSportsCentres,03/01/2021,17/01/2021
Norway,GymsSportsCentres,25/03/2021,15/04/2021
Norway,GymsSportsCentresPartial,18/01/2021,24/03/2021
Norway,IndoorOver100,19/02/2021,24/03/2021
Norway,IndoorOver100,16/04/2021,17/06/2021
Norway,IndoorOver50,07/05/2020,14/06/2020
Norway,IndoorOver50,25/03/2021,15/04/2021
Norway,IndoorOver500,15/06/2020,18/02/2021
Norway,MassGather50,12/03/2020,14/06/2020
Norway,MassGather50,25/03/2021,15/04/2021
Norway,MassGatherAll,12/03/2020,14/06/2020
Norway,MassGatherAll,12/10/2020,26/05/2021
Norway,MassGatherAllPartial,15/06/2020,11/10/2020
Norway,MassGatherAllPartial,27/05/2021,17/06/2021
Norway,OutdoorOver50,07/05/2020,14/06/2020
Norway,OutdoorOver50,25/03/2021,15/04/2021
Norway,OutdoorOver500,15/06/2020,24/03/2021
Norway,OutdoorOver500,16/04/2021,17/06/2021
Norway,QuarantineForInternationalTravellers,15/07/2020,05/03/2021
Norway,QuarantineForInternationalTravellers,29/03/2021,11/06/2021
Norway,QuarantineForInternationalTravellersPartial,07/05/2020,14/07/2020
Norway,QuarantineForInternationalTravellersPartial,06/03/2021,28/03/2021
Norway,RestaurantsCafes,12/03/2020,31/05/2020
Norway,StayHomeGen,05/11/2020,03/01/2021
Norway,StayHomeRiskG,12/03/2020,01/06/2020
Norway,Teleworking,10/03/2020,17/06/2021
Poland,BanOnAllEvents,14/03/2020,03/05/2020
Poland,BanOnAllEvents,07/11/2020,07/05/2021
Poland,BanOnAllEventsPartial,17/07/2020,06/08/2020
Poland,ClosDaycare,12/03/2020,06/05/2020
Poland,ClosDaycarePartial,27/03/2021,18/04/2021
Poland,ClosHigh,12/03/2020,24/05/2020
Poland,ClosHighPartial,25/05/2020,31/08/2020
Poland,ClosPrim,12/03/2020,24/05/2020
Poland,ClosPrim,10/11/2020,17/01/2021
Poland,ClosPrim,20/03/2021,25/04/2021
Poland,ClosPrimPartial,25/05/2020,30/06/2020
Poland,ClosPrimPartial,24/10/2020,09/11/2020
Poland,ClosPrimPartial,18/01/2021,19/03/2021
Poland,ClosPrimPartial,26/04/2021,28/05/2021
Poland,ClosPubAny,14/03/2020,14/03/2020
Poland,ClosSec,12/03/2020,24/05/2020
Poland,ClosSec,24/10/2020,14/05/2021
Poland,ClosSecPartial,25/05/2020,30/06/2020
Poland,ClosSecPartial,01/09/2020,23/10/2020
Poland,ClosSecPartial,15/05/2021,28/05/2021
Poland,ClosureOfPublicTransportPartial,15/03/2020,26/06/2021
Poland,EntertainmentVenues,14/03/2020,06/06/2020
Poland,EntertainmentVenues,24/10/2020,31/01/2021
Poland,EntertainmentVenues,20/03/2021,03/05/2021
Poland,EntertainmentVenuesPartial,07/06/2020,23/10/2020
Poland,EntertainmentVenuesPartial,01/02/2021,19/03/2021
Poland,GymsSportsCentres,14/03/2020,04/06/2020
Poland,GymsSportsCentres,20/03/2021,15/04/2021
Poland,GymsSportsCentresPartial,05/06/2020,06/08/2020
Poland,HotelsOtherAccommodation,14/03/2020,04/05/2020
Poland,IndoorOver100,10/10/2020,16/10/2020
Poland,IndoorOver50,23/10/2020,06/11/2020
Poland,IndoorOver50,28/05/2021,05/06/2021
Poland,IndoorOver500,10/03/2020,13/03/2020
Poland,IndoorOver500,07/08/2020,09/10/2020
Poland,MasksMandatoryAllSpaces,16/04/2020,29/05/2020
Poland,MasksMandatoryAllSpaces,10/10/2020,14/05/2021
Poland,MasksMandatoryClosedSpacesPartial,30/05/2020,18/09/2020
Poland,MassGather50,14/03/2020,03/05/2020
Poland,MassGather50,23/10/2020,07/05/2021
Poland,MassGather50,28/05/2021,05/06/2021
Poland,MassGather50Partial,17/07/2020,06/08/2020
Poland,MassGatherAll,10/03/2020,03/05/2020
Poland,MassGatherAll,30/05/2020,18/06/2020
Poland,MassGatherAll,23/10/2020,07/05/2021
Poland,MassGatherAll,28/05/2021,05/06/2021
Poland,MassGatherAllPartial,19/06/2020,16/10/2020
Poland,NonEssentialShops,14/03/2020,17/05/2020
Poland,NonEssentialShops,07/11/2020,31/01/2021
Poland,NonEssentialShops,20/03/2021,25/04/2021
Poland,NonEssentialShopsPartial,01/02/2021,19/03/2021
Poland,OutdoorOver100,30/05/2020,16/07/2020
Poland,OutdoorOver50,28/05/2021,05/06/2021
Poland,OutdoorOver500,07/08/2020,10/10/2020
Poland,PlaceOfWorshipPartial,19/04/2020,30/05/2020
Poland,PrivateGatheringRestrictions,02/04/2020,29/05/2020
Poland,PrivateGatheringRestrictions,17/10/2020,07/05/2021
Poland,PrivateGatheringRestrictionsPartial,08/05/2021,27/05/2021
Poland,RestaurantsCafes,14/03/2020,17/05/2020
Poland,RestaurantsCafes,24/10/2020,14/05/2021
Poland,RestaurantsCafesPartial,18/05/2020,29/05/2020
Poland,StayHomeGen,20/04/2020,04/05/2020
Poland,StayHomeOrder,24/03/2020,19/04/2020
Poland,StayHomeRiskG,08/03/2020,NA
Portugal,BanOnAllEvents,04/05/2020,15/04/2021
Portugal,BanOnAllEventsPartial,16/04/2021,28/06/2021
Portugal,ClosDaycare,16/03/2020,17/05/2020
Portugal,ClosDaycare,22/01/2021,14/03/2021
Portugal,ClosDaycarePartial,18/05/2020,31/05/2020
Portugal,ClosHigh,16/03/2020,17/05/2020
Portugal,ClosHigh,22/01/2021,15/04/2021
Portugal,ClosHighPartial,18/05/2020,07/09/2020
Portugal,ClosPrim,16/03/2020,14/09/2020
Portugal,ClosPrim,22/01/2021,14/03/2021
Portugal,ClosPubAny,13/03/2020,17/03/2020
Portugal,ClosSec,16/03/2020,17/05/2020
Portugal,ClosSec,22/01/2021,31/03/2021
Portugal,ClosSecPartial,18/05/2020,14/09/2020
Portugal,ClosSecPartial,01/04/2021,15/04/2021
Portugal,EntertainmentVenues,13/03/2020,17/05/2020
Portugal,EntertainmentVenues,15/01/2021,15/04/2021
Portugal,EntertainmentVenuesPartial,18/05/2020,01/06/2020
Portugal,EntertainmentVenuesPartial,24/11/2020,14/01/2021
Portugal,GymsSportsCentres,15/03/2020,03/05/2020
Portugal,GymsSportsCentres,15/01/2021,31/03/2021
Portugal,GymsSportsCentresPartial,04/05/2020,23/11/2020
Portugal,GymsSportsCentresPartial,01/04/2021,30/04/2021
Portugal,GymsSportsCentresPartial,08/07/2021,31/07/2021
Portugal,IndoorOver100,15/03/2020,03/05/2020
Portugal,MasksMandatoryClosedSpaces,04/05/2020,27/10/2020
Portugal,MasksVoluntaryAllSpaces,15/10/2020,27/10/2020
Portugal,MassGather50,04/05/2020,15/04/2021
Portugal,MassGather50Partial,16/04/2021,28/06/2021
Portugal,MassGatherAll,15/03/2020,15/04/2021
Portugal,MassGatherAllPartial,16/04/2021,28/06/2021
Portugal,NonEssentialShops,15/03/2020,03/05/2020
Portugal,NonEssentialShops,15/01/2021,31/03/2021
Portugal,NonEssentialShopsPartial,04/05/2020,23/11/2020
Portugal,NonEssentialShopsPartial,01/04/2021,28/06/2021
Portugal,OutdoorOver100,15/03/2020,03/05/2020
Portugal,PlaceOfWorship,13/03/2020,30/05/2020
Portugal,PrivateGatheringRestrictions,03/05/2020,28/06/2021
Portugal,QuarantineForInternationalTravellers,27/02/2020,17/03/2020
Portugal,QuarantineForInternationalTravellers,31/01/2021,28/06/2021
Portugal,RegionalStayHomeOrder,02/04/2020,03/05/2020
Portugal,RestaurantsCafes,15/03/2020,31/05/2020
Portugal,RestaurantsCafes,15/11/2020,31/03/2021
Portugal,StayHomeGen,01/05/2021,28/06/2021
Portugal,StayHomeOrder,19/03/2020,02/05/2020
Portugal,StayHomeOrder,15/01/2021,30/04/2021
Portugal,StayHomeRiskG,18/03/2020,02/05/2020
Portugal,Teleworking,16/03/2020,31/05/2020
Portugal,Teleworking,15/01/2021,30/04/2021
Portugal,TeleworkingPartial,01/06/2020,22/10/2020
Romania,ClosDaycare,16/03/2020,14/06/2020
Romania,ClosDaycare,09/11/2020,23/12/2020
Romania,ClosDaycare,11/01/2021,07/02/2021
Romania,ClosDaycarePartial,15/06/2020,14/09/2020
Romania,ClosHigh,16/03/2020,14/06/2020
Romania,ClosHighPartial,31/08/2020,05/03/2021
Romania,ClosPrim,16/03/2020,14/06/2020
Romania,ClosPrim,09/11/2020,23/12/2020
Romania,ClosPrim,11/01/2021,07/02/2021
Romania,ClosPrimPartial,15/06/2020,14/09/2020
Romania,ClosPubAny,18/03/2020,13/05/2020
Romania,ClosSec,16/03/2020,01/06/2020
Romania,ClosSec,09/11/2020,23/12/2020
Romania,ClosSec,11/01/2021,07/02/2021
Romania,ClosSecPartial,02/06/2020,13/09/2020
Romania,EntertainmentVenues,18/03/2020,13/05/2020
Romania,GymsSportsCentres,18/03/2020,30/05/2020
Romania,GymsSportsCentresPartial,31/05/2020,14/06/2020
Romania,HotelsOtherAccommodation,18/03/2020,15/05/2020
Romania,HotelsOtherAccommodationPartial,15/05/2021,30/06/2021
Romania,IndoorOver100,09/06/2021,30/06/2021
Romania,IndoorOver50,01/09/2020,08/06/2021
Romania,MasksMandatoryAllSpaces,01/08/2020,14/05/2021
Romania,MasksMandatoryClosedSpaces,15/05/2020,31/07/2020
Romania,MassGather50,01/09/2020,08/06/2021
Romania,MassGatherAll,18/03/2020,31/05/2021
Romania,NonEssentialShops,22/03/2020,13/05/2020
Romania,NonEssentialShopsPartial,14/05/2020,14/06/2020
Romania,NonEssentialShopsPartial,05/11/2020,14/05/2021
Romania,OutdoorOver500,18/03/2020,31/08/2020
Romania,OutdoorOver500,15/05/2021,31/05/2021
Romania,PlaceOfWorship,18/03/2020,14/05/2020
Romania,QuarantineForInternationalTravellers,25/03/2020,16/08/2020
Romania,RestaurantsCafes,18/03/2020,31/05/2020
Romania,StayHomeOrderPartial,22/03/2020,13/05/2020
Romania,StayHomeOrderPartial,09/11/2020,14/05/2021
Romania,StayHomeRiskG,25/03/2020,14/05/2020
Slovakia,BanOnAllEvents,10/03/2020,03/06/2020
Slovakia,BanOnAllEventsPartial,02/11/2020,14/11/2020
Slovakia,BanOnAllEventsPartial,30/12/2020,28/04/2021
Slovakia,ClosDaycare,16/03/2020,31/05/2020
Slovakia,ClosDaycarePartial,01/06/2020,30/06/2020
Slovakia,ClosHigh,16/03/2020,09/06/2020
Slovakia,ClosPrim,30/03/2020,31/05/2020
Slovakia,ClosPrimPartial,01/06/2020,30/06/2020
Slovakia,ClosPrimPartial,12/10/2020,11/04/2021
Slovakia,ClosPubAnyPartial,12/03/2020,20/05/2020
Slovakia,ClosSec,16/03/2020,31/05/2020
Slovakia,ClosSec,12/10/2020,15/11/2020
Slovakia,ClosSecPartial,01/06/2020,30/06/2020
Slovakia,EntertainmentVenues,16/03/2020,20/05/2020
Slovakia,EntertainmentVenues,15/10/2020,15/11/2020
Slovakia,EntertainmentVenues,19/12/2020,26/04/2021
Slovakia,EntertainmentVenuesPartial,16/11/2020,18/12/2020
Slovakia,GymsSportsCentres,16/03/2020,20/05/2020
Slovakia,GymsSportsCentres,15/10/2020,15/11/2020
Slovakia,GymsSportsCentres,19/12/2020,25/04/2021
Slovakia,GymsSportsCentresPartial,16/11/2020,18/12/2020
Slovakia,HotelsOtherAccommodation,01/01/2021,10/01/2021
Slovakia,HotelsOtherAccommodationPartial,12/03/2020,20/05/2020
Slovakia,HotelsOtherAccommodationPartial,14/12/2020,31/12/2020
Slovakia,IndoorOver100,04/06/2020,14/06/2020
Slovakia,IndoorOver1000,15/06/2020,31/08/2020
Slovakia,IndoorOver500,01/09/2020,30/09/2020
Slovakia,MasksMandatoryAllSpaces,25/03/2020,09/06/2020
Slovakia,MasksMandatoryAllSpacesPartial,01/10/2020,NA
Slovakia,MasksMandatoryClosedSpaces,10/06/2020,30/09/2020
Slovakia,MassGather50,10/03/2020,03/06/2020
Slovakia,MassGather50Partial,02/11/2020,14/11/2020
Slovakia,MassGather50Partial,30/12/2020,28/04/2021
Slovakia,MassGatherAll,10/03/2020,30/09/2020
Slovakia,MassGatherAllPartial,02/11/2020,14/11/2020
Slovakia,MassGatherAllPartial,30/12/2020,28/04/2021
Slovakia,NonEssentialShops,16/03/2020,21/04/2020
Slovakia,NonEssentialShopsPartial,22/04/2020,20/05/2020
Slovakia,OutdoorOver100,04/06/2020,14/06/2020
Slovakia,OutdoorOver1000,15/06/2020,30/09/2020
Slovakia,QuarantineForInternationalTravellersPartial,12/03/2020,NA
Slovakia,RestaurantsCafes,01/01/2021,25/04/2021
Slovakia,RestaurantsCafesPartial,12/03/2020,20/05/2020
Slovakia,RestaurantsCafesPartial,01/10/2020,31/12/2020
Slovakia,StayHomeOrderPartial,02/11/2020,14/11/2020
Slovakia,StayHomeOrderPartial,01/01/2021,15/05/2021
Slovakia,Teleworking,02/11/2020,18/04/2021
Slovenia,BanOnAllEvents,01/04/2021,11/04/2021
Slovenia,BanOnAllEventsPartial,19/03/2020,04/05/2020
Slovenia,BanOnAllEventsPartial,17/10/2020,31/03/2021
Slovenia,BanOnAllEventsPartial,12/04/2021,18/04/2021
Slovenia,BanOnAllEventsPartial,23/04/2021,14/05/2021
Slovenia,ClosDaycare,12/03/2020,17/05/2020
Slovenia,ClosDaycare,26/10/2020,02/02/2021
Slovenia,ClosDaycare,01/04/2021,11/04/2021
Slovenia,ClosDaycarePartial,18/05/2020,01/06/2020
Slovenia,ClosHigh,12/03/2020,14/10/2020
Slovenia,ClosHigh,24/10/2020,25/01/2021
Slovenia,ClosHigh,01/04/2021,25/04/2021
Slovenia,ClosHighPartial,15/10/2020,23/10/2020
Slovenia,ClosHighPartial,26/01/2021,31/03/2021
Slovenia,ClosPrim,12/03/2020,17/05/2020
Slovenia,ClosPrim,24/10/2020,15/02/2021
Slovenia,ClosPrim,01/04/2021,11/04/2021
Slovenia,ClosPrimPartial,18/05/2020,01/06/2020
Slovenia,ClosPubAny,14/03/2020,28/04/2020
Slovenia,ClosPubAnyPartial,29/04/2020,NA
Slovenia,ClosSec,12/03/2020,17/05/2020
Slovenia,ClosSec,19/10/2020,14/02/2021
Slovenia,ClosSec,01/04/2021,11/04/2021
Slovenia,ClosSecPartial,18/05/2020,24/06/2020
Slovenia,ClosureOfPublicTransport,14/03/2020,30/04/2020
Slovenia,ClosureOfPublicTransport,16/11/2020,15/12/2020
Slovenia,EntertainmentVenues,16/03/2020,28/04/2020
Slovenia,EntertainmentVenues,01/04/2021,11/04/2021
Slovenia,EntertainmentVenuesPartial,29/04/2020,18/12/2020
Slovenia,EntertainmentVenuesPartial,09/01/2021,15/01/2021
Slovenia,EntertainmentVenuesPartial,20/03/2021,31/03/2021
Slovenia,EntertainmentVenuesPartial,12/04/2021,NA
Slovenia,GymsSportsCentres,15/03/2020,17/05/2020
Slovenia,GymsSportsCentres,01/04/2021,16/05/2021
Slovenia,GymsSportsCentresPartial,18/05/2020,01/06/2020
Slovenia,IndoorOver100,10/03/2020,18/03/2020
Slovenia,IndoorOver100,05/05/2020,31/05/2020
Slovenia,IndoorOver100,19/04/2021,22/04/2021
Slovenia,IndoorOver50,15/05/2021,20/06/2021
Slovenia,IndoorOver500,07/03/2020,09/03/2020
Slovenia,MasksMandatoryClosedSpaces,30/03/2020,11/06/2020
Slovenia,MasksMandatoryClosedSpacesPartial,25/06/2020,NA
Slovenia,MassGather50,18/05/2020,31/05/2020
Slovenia,MassGather50,01/04/2021,11/04/2021
Slovenia,MassGather50,15/05/2021,20/06/2021
Slovenia,MassGather50Partial,19/03/2020,04/05/2020
Slovenia,MassGather50Partial,17/10/2020,31/03/2021
Slovenia,MassGather50Partial,12/04/2021,18/04/2021
Slovenia,MassGather50Partial,23/04/2021,14/05/2021
Slovenia,MassGatherAll,07/03/2020,18/03/2020
Slovenia,MassGatherAll,05/05/2020,14/06/2020
Slovenia,MassGatherAll,01/04/2021,11/04/2021
Slovenia,MassGatherAll,19/04/2021,22/04/2021
Slovenia,MassGatherAll,15/05/2021,NA
Slovenia,MassGatherAllPartial,19/03/2020,04/05/2020
Slovenia,MassGatherAllPartial,17/10/2020,31/03/2021
Slovenia,MassGatherAllPartial,12/04/2021,18/04/2021
Slovenia,MassGatherAllPartial,23/04/2021,14/05/2021
Slovenia,NonEssentialShops,15/03/2020,20/04/2020
Slovenia,NonEssentialShops,24/10/2020,14/12/2020
Slovenia,NonEssentialShopsPartial,15/12/2020,NA
Slovenia,OutdoorOver100,19/04/2021,22/04/2021
Slovenia,OutdoorOver50,18/05/2020,31/05/2020
Slovenia,OutdoorOver50,15/05/2021,20/06/2021
Slovenia,OutdoorOver500,10/03/2020,17/03/2020
Slovenia,OutdoorOver500,01/06/2020,14/06/2020
Slovenia,PlaceOfWorship,01/04/2021,11/04/2021
Slovenia,PlaceOfWorshipPartial,12/04/2021,NA
Slovenia,PrivateGatheringRestrictions,19/03/2020,17/05/2020
Slovenia,PrivateGatheringRestrictions,13/11/2020,11/04/2021
Slovenia,PrivateGatheringRestrictionsPartial,14/10/2020,12/11/2020
Slovenia,PrivateGatheringRestrictionsPartial,12/04/2021,NA
Slovenia,RestaurantsCafes,15/03/2020,17/05/2020
Slovenia,RestaurantsCafes,01/04/2021,11/04/2021
Slovenia,RestaurantsCafesPartial,17/10/2020,31/03/2021
Slovenia,RestaurantsCafesPartial,12/04/2021,NA
Slovenia,StayHomeOrderPartial,20/10/2020,12/04/2021
Slovenia,Teleworking,04/03/2020,NA
Slovenia,WorkplaceClosures,15/03/2020,04/05/2020
Spain,AdaptationOfWorkplacePartial,12/03/2020,19/05/2020
Spain,BanOnAllEvents,14/03/2020,24/05/2020
Spain,BanOnAllEvents,23/12/2020,05/01/2021
Spain,BanOnAllEvents,17/03/2021,21/03/2021
Spain,BanOnAllEvents,26/03/2021,09/04/2021
Spain,ClosDaycare,14/03/2020,27/08/2020
Spain,ClosHigh,14/03/2020,27/08/2020
Spain,ClosPrim,14/03/2020,27/08/2020
Spain,ClosPubAnyPartial,14/03/2020,21/06/2020
Spain,ClosPubAnyPartial,14/08/2020,08/05/2021
Spain,ClosPubAnyPartial,04/08/2021,NA
Spain,ClosSec,14/03/2020,27/08/2020
Spain,ClosureOfPublicTransportPartial,14/03/2020,21/06/2020
Spain,EntertainmentVenues,14/03/2020,21/05/2020
Spain,EntertainmentVenues,14/08/2020,08/05/2021
Spain,EntertainmentVenuesPartial,22/05/2020,21/06/2020
Spain,GymsSportsCentres,14/03/2020,23/04/2020
Spain,GymsSportsCentres,25/10/2020,08/05/2021
Spain,GymsSportsCentresPartial,24/04/2020,21/06/2020
Spain,GymsSportsCentresPartial,01/10/2020,24/10/2020
Spain,GymsSportsCentresPartial,04/08/2021,NA
Spain,HotelsOtherAccommodation,14/03/2020,21/05/2020
Spain,HotelsOtherAccommodationPartial,22/05/2020,21/06/2020
Spain,IndoorOver100,30/05/2020,24/10/2020
Spain,IndoorOver50,25/05/2020,29/05/2020
Spain,MasksMandatoryAllSpacesPartial,20/05/2020,NA
Spain,MasksMandatoryClosedSpaces,04/05/2020,19/05/2020
Spain,MassGather50,14/03/2020,29/05/2020
Spain,MassGather50,23/12/2020,05/01/2021
Spain,MassGather50,17/03/2021,21/03/2021
Spain,MassGather50,26/03/2021,09/04/2021
Spain,MassGatherAll,14/03/2020,29/05/2020
Spain,MassGatherAll,23/12/2020,05/01/2021
Spain,MassGatherAll,17/03/2021,21/03/2021
Spain,MassGatherAll,26/03/2021,09/04/2021
Spain,MassGatherAllPartial,30/05/2020,24/10/2020
Spain,NonEssentialShops,14/03/2020,21/05/2020
Spain,NonEssentialShopsPartial,22/05/2020,21/06/2020
Spain,NonEssentialShopsPartial,01/10/2020,08/05/2021
Spain,PlaceOfWorshipPartial,14/03/2020,21/06/2020
Spain,PlaceOfWorshipPartial,01/10/2020,08/05/2021
Spain,PrivateGatheringRestrictionsPartial,25/05/2020,08/05/2021
Spain,QuarantineForInternationalTravellers,15/05/2020,NA
Spain,RegionalStayHomeOrderPartial,25/10/2020,07/06/2021
Spain,RestaurantsCafes,14/03/2020,21/05/2020
Spain,RestaurantsCafesPartial,22/05/2020,21/06/2020
Spain,RestaurantsCafesPartial,14/08/2020,08/05/2021
Spain,SocialCirclePartial,27/08/2020,28/08/2020
Spain,StayHomeGen,12/03/2020,13/03/2020
Spain,StayHomeOrder,14/03/2020,23/04/2020
Spain,StayHomeOrderPartial,24/04/2020,21/06/2020
Spain,StayHomeRiskG,12/03/2020,13/03/2020
Spain,TeleworkingPartial,12/03/2020,13/03/2020
Sweden,AdaptationOfWorkplace,08/07/2020,31/12/2020
Sweden,AdaptationOfWorkplacePartial,25/03/2020,07/07/2020
Sweden,ClosHigh,17/03/2020,31/05/2021
Sweden,ClosSec,18/03/2020,15/06/2020
Sweden,ClosSec,07/12/2020,06/01/2021
Sweden,ClosSec,11/01/2021,01/04/2021
Sweden,ClosSecPartial,23/11/2020,06/12/2020
Sweden,ClosureOfPublicTransportPartial,01/06/2021,15/07/2021
Sweden,EntertainmentVenuesPartial,25/03/2021,31/05/2021
Sweden,GymsSportsCentresPartial,10/01/2021,01/06/2021
Sweden,MasksVoluntaryClosedSpacesPartial,07/01/2021,01/07/2021
Sweden,MassGather50,29/03/2020,31/05/2021
Sweden,NonEssentialShopsPartial,10/01/2021,17/05/2021
Sweden,OutdoorOver50,29/03/2020,31/05/2021
Sweden,StayHomeRiskG,01/04/2020,22/10/2020
